timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_flip_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
106040592,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
107048959,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
108058462,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
109069459,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
110076426,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
111080450,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
112082422,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
113086449,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
114094464,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
115100671,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
116104182,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
117109052,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
118117466,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
119124895,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
120128618,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
121132875,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
121144262,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122147769,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123153530,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124161178,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125166679,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126174481,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127179464,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128187464,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129193421,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130197436,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131209911,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132217286,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133225233,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134225500,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135237937,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136242460,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137253167,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138257810,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139261176,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140269508,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140841745,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141845639,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142852570,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143857787,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144861328,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145249428,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146250430,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147251428,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148262212,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149264421,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150271421,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151281600,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152285459,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153286424,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154202438,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
155206894,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
156218471,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
157226225,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
